电影名称,上映时间,评分,描述,下载链接
泳者之心,2024,高分,美国 / 剧情 传记 运动,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmVkNTA3OGE1MmYwM2QzNjliZWNlMjI0ZjhlMjVkZDMzNmUwN2UwZGZaWg==
流浪地球2：再次冒险,2024,高分,中国大陆 / 纪录片,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjEzMWZkNWZhZDE3ZDEyNzY4M2Q3NmYyY2ZhZDQzNjExZmZiMGZlZjJaWg==
姥姥的外孙,2024,高分,家庭 亲情 温情 治愈,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjUwMWNiMjExNTczZDMwY2VjNjRjZDFkNDdiZTAxYjhkMDA0ZDVmMjNaWg==
这就是我：席琳·狄翁,2024,高分,加拿大 / 美国 / 纪录片 音乐 传记,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmVmNWM4YmFhNmQ0ZDZlN2IxZTlmYTMwYjczNjQ5NTIzNDE2NWExZWZaWg==
因果报应,2024,高分,印度 / 剧情 动作 惊悚 犯罪,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmVlYmFlYzRjMzQ1MjI0YWZkMmUxNjZiMTIwMDZjYTAyOWI1Y2RmNDZaWg==
再会长江,2024,高分,纪录片 温情 人生 社会 人文 成长 文艺,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmQyOTU3N2I1M2RkZTM5MmUzZjM4OWUzNWFkZDk2OTdjZGI0NjFmNGZaWg==
我们一起摇太阳,2024,高分,中国大陆 / 中国香港 / 剧情 爱情 家庭,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjhiMTc0OGRjNzgwN2VkYjEzMGRmMTdkYmQyNzA0ZDRmY2Y0NjU0NDdaWg==
沙丘2,2024,高分,美国 / 加拿大 / 剧情 动作 科幻 冒险,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmYxNDNmMTU4NDRjYjEzNTY0OWU5YzFlMTg2ZjMxZDdhN2FhMmE1N2NaWg==
走走停停,2024,高分,中国大陆 / 剧情 喜剧 家庭,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmUyOWZlYTZhYjAyOWQ2MjQ3MmU5NjlhMWU4NjM4ODE4ZGU2YTNhYzFaWg==
飞驰人生2,2024,高分,中国大陆 / 剧情 喜剧 运动,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjRlZTc0NmQwMzU3OWZiMTE5OTkzMDE5NTk5OThhNWU5YTFkYzc0YWZaWg==
性别议程,2024,高分,美国 / 喜剧 脱口秀,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjYzNzgxZWQ1OTQ2ZDBkZDljNjBhYjM4NDVhYThiMDA0YmRhNjUzMTVaWg==
热辣滚烫,2024,高分,中国大陆 / 剧情 喜剧,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmZhOTg3MmZiODE5M2I1ZGM5OTU0MDFkNWIxZWE4Nzg3YzBjNTYwMDBaWg==
宠爱,2024,高分,韩国 / 剧情,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjg3OGMzM2I5NjAzNDE2YjFkOWM1OTMxYWQ2Mzk0MGVmNzIwOTVmNGVaWg==
某种物质,2024,高分,法国 / 英国 / 美国 / 剧情 恐怖,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjI0OTRlMDZmYTExZjFiNjM4N2EwMDY3NTU2NmQyYTY1NTdiMGJkOTFaWg==
第二十条,2024,高分,中国大陆 / 剧情 喜剧 家庭,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjE2ZDdmZDIxOGFmODFiYzY4NGI4MDA3NWY5ZDdmZjRlN2U2Y2MwMmZaWg==
从21世纪安全撤离,2024,高分,中国大陆 / 喜剧 科幻,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmIzZjY3MjA1NDI4MmQ1NGQyZGIzYjE4MmE5MTkzNjU2MTMxZmNhMWNaWg==
汪星人的奇思妙想,2024,高分,美国 / 纪录片,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjIxZmI5MjY1OTRhOGUwNjYyNDllNTE4NTlhZjljOWMxYmJmODJlNmFaWg==
异形：夺命舰,2024,高分,美国 / 英国 / 科幻 惊悚 恐怖,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjM0MmM5YWQ5NGM2Y2NlMTFhMzNmOWYxYmFhMTM3ODdlOTQ5NjlhNzdaWg==
疯狂的麦克斯：狂暴女神,2024,高分,澳大利亚 / 美国 / 动作 科幻 惊悚 冒险,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjc5OTYwNzBlOWU0YTMxZWI5YTQ0ZGQ5ODYxZjcyMTc3MmM5Y2I1OGNaWg==
卡布里尼,2024,高分,美国 / 传记,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjIxYTA1ZTYyZjc3ZjViMjYxYTY4ZDNmZDdiZDc4Mjk0NGJmNzljNzVaWg==
刺猬,2024,高分,中国大陆 / 中国香港 / 剧情 喜剧 家庭,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjc5YzJjMDIyZjkxY2QxMjUzOGQ4YmIxZjIyZTE3MmJiYjczNTc4ZjNaWg==
亚当·桑德勒：爱你,2024,高分,美国 / 喜剧 脱口秀,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjFjOWQ4MzNjNmVhMGU0YjYwODU0ZGVjNzc3MzRlMTczYmViZDQ2NTdaWg==
冠军亚瑟,2024,高分,美国 / 冒险,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmUwN2NiYTJkNjIwZTVhNDIzZTIyOWI3YjViYjE4ZTkyNWIwZDNhZmJaWg==
目中无人2,2024,高分,中国大陆 / 动作 武侠 古装,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmUyNDhkNDFkMDc0NmQ1NmI5YzBiZTcwNmQ5NWU2NzE4ZmU2NjI2ODBaWg==
普通天使,2024,高分,美国 / 剧情,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjhiMTFhODIxOWJiMzgzNmE0ODY2OWZhNWZkOTFmZTA2YmRhYzAyNWVaWg==
佩德罗·巴拉莫,2024,高分,墨西哥 / 剧情 悬疑 战争 奇幻,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjNkZjMwM2UxZjQ4YzcxMTJmMGY1YjRhNGRiNzJmMmUwOTI4MDkyNmRaWg==
谈判专家,2024,高分,中国大陆 / 中国香港 / 剧情 犯罪,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOjhhNDUyY2FhN2E1MGE4ZTJhNTU2YWQ4OTM2MWFiNGFiYjVmMzE3MDZaWg==
逃脱,2024,高分,女性 文艺,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmQ4MTE4YmNjZDVmODQ3NDVhNWQ2YWEyOTUwODExZmE1ZWUyNzM1MjFaWg==
九龙城寨之围城,2024,高分,中国香港 / 中国大陆 / 动作 犯罪,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmNjNjdmZDUyZjM0NjIzMTBjZmNmYjEyOTU0ODU0MDkwNDMxMmVhZGNaWg==
抓娃娃,2024,高分,中国大陆 / 喜剧,thunder://QUFtYWduZXQ6P3h0PXVybjpidGloOmE2ZWU2ZGJkZWUzNjBiYWI1YjMwMjRkNTRkMmZjZWVjZjJiYjRmYTRaWg==
